ID [],Local [],Irradiance [W/m^2],T_ambient [Degrees Celsius],T_ground [Degrees Celsius],Wind [m/s],Cloud [okta],Pressure [Pa],Rain [mm/hr],Diffuse [W/m^2],Direct [W/m^2],Elevation [Degrees],Azimuth [Degrees]
6005,0000-09-07 04:30:00,0.151,13.985,11.673,3.361,5.851,101503.772,0.267,0.11,0,-5.826,72.334
6006,0000-09-07 05:30:00,12.94,14.117,11.713,3.447,5.628,101529.024,0.214,12.207,0.747,3.195,84.233
6007,0000-09-07 06:30:00,78.926,15.202,12.174,3.518,5.477,101538.483,0.049,59.12,20.602,12.407,96.096
6008,0000-09-07 07:30:00,178.554,16.279,12.616,4.152,5.093,101562.128,0.024,109.605,70.445,21.409,108.552
6009,0000-09-07 08:30:00,272.605,17.137,13.02,4.487,5.138,101589.498,0.031,146.937,127.119,29.733,122.309
6010,0000-09-07 09:30:00,328.053,17.385,13.543,4.569,5.442,101629.875,0.178,179.577,148.411,36.804,138.153
6011,0000-09-07 10:30:00,394.179,18.213,13.849,4.682,5.644,101614.357,0.054,201.862,187.069,41.793,156.395
6012,0000-09-07 11:30:00,415.584,18.546,14.012,5.01,5.428,101605.551,0.011,235.638,182.536,43.941,176.474
6013,0000-09-07 12:30:00,389.465,18.642,14.448,5.128,5.638,101614.358,0.016,218.1,178.395,42.834,197.012
6014,0000-09-07 13:30:00,366.002,18.418,14.754,5.339,5.995,101609.238,0.219,196.753,171.659,38.671,216.052
6015,0000-09-07 14:30:00,316.688,18.558,15.122,5.169,5.39,101597.695,0.17,180.475,135.307,32.232,232.53
6016,0000-09-07 15:30:00,249.966,18.384,15.351,4.998,4.805,101593.642,0.016,131.218,119.551,24.249,246.874
6017,0000-09-07 16:30:00,134.18,17.72,15.481,4.727,5.124,101588.305,0.09,84.014,50.752,15.4,259.672
6018,0000-09-07 17:30:00,43.803,16.754,15.649,4.298,5.386,101590.166,0.14,34.493,9.602,6.186,271.643
6019,0000-09-07 18:30:00,1.853,15.848,15.042,3.588,5.261,101600.138,0.055,1.802,0.005,-2.975,283.443
6020,0000-09-07 19:30:00,0.011,15.381,14.347,3.732,5.315,101633.448,0.057,0,0,-11.673,295.671
6021,0000-09-07 20:30:00,0.034,14.799,13.717,3.49,5.225,101627.468,0.015,0,0,-19.516,308.936
6022,0000-09-07 21:30:00,0.034,14.666,13.12,3.587,5.463,101618.562,0.055,0,0,-25.902,323.528
6023,0000-09-07 22:30:00,0.005,14.43,12.485,3.423,4.742,101608.695,0.034,0,0,-30.311,339.712
6024,0000-09-07 23:30:00,0.005,14.107,11.75,3.187,4.391,101585.848,0.043,0,0,-32.191,339.906
6025,0000-09-08 00:30:00,0,13.799,11.499,3.245,4.519,101561.457,0.087,0,0,-31.27,14.58
6026,0000-09-08 01:30:00,0.014,13.539,11.37,3.22,4.599,101541.41,0.151,0,0,-27.684,31.242
6027,0000-09-08 02:30:00,0.029,13.312,11.232,3.058,4.885,101520.158,0.067,0,0,-21.905,46.422
6028,0000-09-08 03:30:00,0.034,13.165,11.056,3.024,4.41,101504.447,0.091,0,0,-14.52,60.096
6029,0000-09-08 04:30:00,0.047,13.13,10.928,3.035,5.086,101499.253,0.115,0.014,0,-6.078,72.626
6030,0000-09-08 05:30:00,13.094,13.657,10.848,3.13,5.7,101510.315,0.148,12.329,1.082,2.952,84.532
6031,0000-09-08 06:30:00,81.626,15.063,11.306,3.33,5.572,101521.367,0.14,59.454,24.477,12.166,96.399
6032,0000-09-08 07:30:00,176.827,16.255,11.727,3.853,5.509,101530.667,0.19,106.538,75.221,21.156,108.86
6033,0000-09-08 08:30:00,272.672,17.164,12.185,4.123,5.824,101547.372,0.115,147.348,132.598,29.457,122.618
6034,0000-09-08 09:30:00,346.685,17.84,12.547,4.219,5.653,101548.991,0.047,170.775,185.238,36.467,138.368
6035,0000-09-08 10:30:00,357.244,18.288,12.95,4.467,5.605,101545.424,0.07,197.644,169.758,41.43,156.521
6036,0000-09-08 11:30:00,389.947,18.766,13.36,4.569,5.875,101540.091,0.693,217.245,184.099,43.567,176.61
6037,0000-09-08 12:30:00,424.307,19.253,13.732,4.861,5.266,101531.271,0.127,211.506,225.161,42.451,197.02
6038,0000-09-08 13:30:00,345.232,19.085,14.153,4.892,5.129,101522.86,0.027,195.1,158.971,38.314,215.9
6039,0000-09-08 14:30:00,275.93,18.627,14.547,4.892,5.168,101517.914,0.2,157.719,125.76,31.863,232.4
6040,0000-09-08 15:30:00,218.718,18.185,14.908,4.772,4.981,101513.053,0.768,123.764,101.273,23.891,246.717
6041,0000-09-08 16:30:00,115.826,17.571,15.246,4.415,4.611,101511.838,0.176,71.397,46.966,15.049,259.505
6042,0000-09-08 17:30:00,34.315,16.489,15.551,3.934,5.039,101517.614,0.094,28.016,6.866,5.838,271.476
6043,0000-09-08 18:30:00,1.183,15.638,14.841,3.124,4.543,101547.262,0.297,1.148,0.009,-3.323,283.287
6044,0000-09-08 19:30:00,0.014,15.197,14.14,3.158,4.396,101570.943,0.17,0,0,-12.024,295.517
6045,0000-09-08 20:30:00,0.022,14.961,13.469,3.193,4.467,101580.887,0.1,0,0,-19.866,308.784
6046,0000-09-08 21:30:00,0.011,14.686,12.847,3.299,4.353,101581.152,0.107,0,0,-26.283,323.462
6047,0000-09-08 22:30:00,0.005,14.282,12.259,3.104,3.995,101576.572,0.096,0,0,-30.697,339.715
6048,0000-09-08 23:30:00,0,14.075,11.681,3.077,4.68,101568.848,0.007,0,0,-32.569,336.565
6049,0000-09-09 00:30:00,0.018,13.823,11.52,2.964,4.957,101559.852,0.18,0,0,-31.628,14.748
6050,0000-09-09 01:30:00,0.034,13.616,11.325,2.977,4.934,101550.324,0.133,0,0,-28.012,31.471
6051,0000-09-09 02:30:00,0.034,13.679,11.154,2.894,4.804,101538.087,0.067,0,0,-22.202,46.687
6052,0000-09-09 03:30:00,0.034,13.554,11.125,2.944,4.805,101528.334,0.105,0,0,-14.791,60.38
6053,0000-09-09 04:30:00,0.048,13.663,10.993,3.187,4.957,101529.719,0.131,0.014,0,-6.331,72.919
6054,0000-09-09 05:30:00,15.106,14.085,10.837,3.158,5.467,101547.32,0.096,13.516,1.978,2.708,84.832
6055,0000-09-09 06:30:00,78.834,15.236,11.315,3.497,5.191,101565.51,0.014,58.364,21.642,11.922,96.705
6056,0000-09-09 07:30:00,167.702,16.335,11.856,3.705,5.805,101590.577,0.064,109.201,62.432,20.901,109.171
6057,0000-09-09 08:30:00,273.792,17.212,12.384,4.118,5.672,101610.71,0.253,148.445,133.345,29.181,122.927
6058,0000-09-09 09:30:00,361.451,18.254,12.94,4.475,5.88,101610.786,0.114,195.355,171.042,36.159,138.657
6059,0000-09-09 10:30:00,368.026,18.42,13.525,4.698,5.942,101612.514,0.304,209.562,150.637,41.086,156.755
6060,0000-09-09 11:30:00,389.305,18.849,13.86,4.89,5.862,101609.616,0.38,238.506,159.887,43.193,176.747
6061,0000-09-09 12:30:00,415.101,19.152,14.345,5.199,5.919,101600.833,0.04,232.133,183.442,42.065,197.042
6062,0000-09-09 13:30:00,388.665,19.417,14.737,5.342,5.224,101591.262,0.046,205.745,178.54,37.931,215.828
6063,0000-09-09 14:30:00,327.79,19.222,15.048,5.066,5.243,101578.025,0.111,167.556,158.888,31.492,232.271
6064,0000-09-09 15:30:00,236.42,18.704,15.344,4.886,5.077,101575.042,0.152,123.139,112.223,23.532,246.561
6065,0000-09-09 16:30:00,128.562,18.091,15.653,4.565,4.896,101576.193,0.103,79.742,45.457,14.697,259.338
6066,0000-09-09 17:30:00,41.405,16.972,15.79,4.111,4.376,101589.404,0.163,31.479,8.93,5.488,271.31
6067,0000-09-09 18:30:00,0.951,15.748,14.826,3.544,4.372,101630.023,0.257,0.929,0.003,-3.676,283.128
6068,0000-09-09 19:30:00,0,15.159,14.036,3.39,4.281,101658.157,0.24,0,0,-12.4,295.397
6069,0000-09-09 20:30:00,0,14.778,13.269,3.408,4.195,101663.785,0.08,0,0,-20.238,308.671
6070,0000-09-09 21:30:00,0,14.433,12.535,3.057,4.052,101665.595,0.027,0,0,-26.666,323.397
6071,0000-09-09 22:30:00,0,14.126,11.942,2.932,3.739,101662.743,0.067,0,0,-31.084,339.719
6072,0000-09-09 23:30:00,0,14.003,11.378,3.191,4.1,101654.756,0.15,0,0,-32.949,336.654
6073,0000-09-10 00:30:00,0,13.708,11.328,3.152,4.072,101640.858,0.016,0,0,-31.987,14.919
6074,0000-09-10 01:30:00,0,13.634,11.263,3.046,4.709,101632.238,0.441,0,0,-28.341,31.703
6075,0000-09-10 02:30:00,0,13.663,11.247,2.972,4.653,101619.472,0.365,0,0,-22.5,46.955
6076,0000-09-10 03:30:00,0,13.54,11.253,3.178,4.748,101604.667,0.331,0,0,-15.063,60.666
6077,0000-09-10 04:30:00,0,13.564,11.255,3.25,5.038,101606.429,0.087,0,0,-6.584,73.215
6078,0000-09-10 05:30:00,13.975,13.783,11.343,3.38,5.456,101619.534,0.09,12.442,1.253,2.464,85.133
6079,0000-09-10 06:30:00,74.866,14.841,11.873,3.424,5.224,101632.119,0.123,56.836,16.442,11.677,97.012
6080,0000-09-10 07:30:00,182.619,16.175,12.518,3.822,5.195,101640.909,0.103,115.234,62.584,20.644,109.482
6081,0000-09-10 08:30:00,267.464,17.087,13.027,4.451,5.591,101658.143,0.121,156.638,106.402,28.902,123.236
6082,0000-09-10 09:30:00,369.826,18.105,13.512,4.612,5.509,101650.576,0.175,198.234,174.609,35.849,138.945
6083,0000-09-10 10:30:00,393.358,18.413,13.892,4.914,5.651,101636.724,0.293,219.718,172.466,40.741,156.987
6084,0000-09-10 11:30:00,436.687,19.054,14.113,5.038,5.629,101616.667,0.114,229.719,208.528,42.819,176.884
6085,0000-09-10 12:30:00,421.802,19.098,14.584,5.36,6.066,101598.809,0.346,231.487,194.265,41.677,197.064
6086,0000-09-10 13:30:00,332.788,19.077,14.878,5.205,6.215,101567.953,0.26,202.999,130.965,37.547,215.757
6087,0000-09-10 14:30:00,274.289,18.936,15.154,4.95,5.977,101551.1,0.207,173.828,102.052,31.119,232.143
6088,0000-09-10 15:30:00,212.478,18.717,15.473,4.739,5.424,101535.205,0.166,124.382,92.069,23.17,246.405
6089,0000-09-10 16:30:00,123.628,18.187,15.79,4.504,5.5,101528.271,0.304,81.811,44.449,14.344,259.172
6090,0000-09-10 17:30:00,38.674,17.101,15.959,3.807,4.924,101529.365,0.133,29.931,9.113,5.137,271.143
6091,0000-09-10 18:30:00,0.664,16.053,15.016,3.556,5.109,101547.512,0.117,0.62,0.003,-4.03,282.969
6092,0000-09-10 19:30:00,0.014,15.255,14.236,3.399,3.996,101562.497,0.193,0,0,-12.762,295.254
6093,0000-09-10 20:30:00,0.019,14.943,13.725,3.448,4.573,101531.439,0.169,0,0,-20.613,308.567
6094,0000-09-10 21:30:00,0.011,14.516,12.945,3.241,4.094,101541.322,0.07,0,0,-27.019,323.24
6095,0000-09-10 22:30:00,0.014,14.385,12.443,3.346,4.348,101524.344,0.05,0,0,-31.492,339.818
6096,0000-09-10 23:30:00,0.023,14.271,11.92,3.364,4.548,101517.785,0.09,0,0,-33.331,336.744
6097,0000-09-11 00:30:00,0.034,14.08,11.775,3.199,4.291,101500.562,0.023,0,0,-32.347,15.092
6098,0000-09-11 01:30:00,0.018,13.913,11.653,3.233,4.671,101492.753,0.03,0,0,-28.671,31.937
6099,0000-09-11 02:30:00,0,13.633,11.588,3.167,4.129,101477.705,0.061,0,0,-22.799,47.225
6100,0000-09-11 03:30:00,0,13.603,11.583,3.19,4.506,101461.133,0.061,0,0,-15.335,60.954
6101,0000-09-11 04:30:00,0,13.743,11.481,3.203,5.233,101458.753,0.073,0,0,-6.838,73.511
6102,0000-09-11 05:30:00,11.708,14.139,11.376,3.277,5.658,101473.147,0.014,10.981,0.558,2.219,85.436
6103,0000-09-11 06:30:00,76.313,15.415,11.826,3.795,5.151,101485.396,0.038,59.341,15.761,11.43,97.32
6104,0000-09-11 07:30:00,189.09,16.723,12.353,4.254,4.924,101491.61,0.006,121.352,65.669,20.387,109.794
6105,0000-09-11 08:30:00,273.125,17.399,12.806,4.753,5.576,101509.676,0.057,168.562,104.209,28.622,123.544
6106,0000-09-11 09:30:00,338.563,18.096,13.254,5.132,5.32,101507.605,0.027,196.051,142.994,35.537,139.233
6107,0000-09-11 10:30:00,385.3,18.653,13.695,5.445,5.09,101495.824,0.012,214.644,169.298,40.393,157.219
6108,0000-09-11 11:30:00,402.304,19.012,14.023,5.598,5.134,101490.953,0.098,221.594,185.889,42.443,177.019
6109,0000-09-11 12:30:00,382,18.772,14.254,5.567,5.577,101487.119,0.138,211.376,181.809,41.289,197.086
6110,0000-09-11 13:30:00,336.803,18.854,14.537,5.392,4.619,101473.353,0.091,192.255,149.065,37.161,215.687
6111,0000-09-11 14:30:00,288.193,18.822,14.787,5.035,5.533,101460.434,0.075,159.46,135.198,30.745,232.016
6112,0000-09-11 15:30:00,205.885,18.527,15.036,4.68,4.982,101454.52,0.566,116.185,94.245,22.808,246.25
6113,0000-09-11 16:30:00,114.113,17.874,15.287,4.57,4.924,101454.614,0.077,80.609,34.335,13.989,259.006
6114,0000-09-11 17:30:00,34.196,16.707,15.453,4.023,5.195,101468.629,0.135,27.524,7.374,4.784,270.977
6115,0000-09-11 18:30:00,0.589,15.681,14.743,3.481,4.6,101501.87,0.07,0.573,0.015,-4.386,282.81
6116,0000-09-11 19:30:00,0.005,15.224,14.119,3.25,4.915,101521.812,0.004,0,0,-13.119,295.1
6117,0000-09-11 20:30:00,0.023,15.064,13.621,3.099,5.429,101524.902,0.08,0,0,-20.987,308.443
6118,0000-09-11 21:30:00,0.034,14.834,13.103,3.243,5.104,101526.802,0.084,0,0,-27.436,323.265
6119,0000-09-11 22:30:00,0.018,14.619,12.643,3.298,4.976,101519.278,0.03,0,0,-31.863,339.729
6120,0000-09-11 23:30:00,0.005,14.361,12.201,2.907,4.871,101510.898,0.027,0,0,-33.712,336.836
6121,0000-09-12 00:30:00,0,13.954,12.025,2.685,4.594,101496.195,0.123,0,0,-32.709,15.268
6122,0000-09-12 01:30:00,0,13.961,11.882,2.759,4.919,101483.647,0.006,0,0,-29.002,32.174
6123,0000-09-12 02:30:00,0,13.851,11.774,2.929,5.353,101471.518,0.041,0,0,-23.099,47.498
6124,0000-09-12 03:30:00,0,13.903,11.63,2.974,5.433,101460.744,0.072,0,0,-15.607,61.244
6125,0000-09-12 04:30:00,0,13.768,11.452,2.947,5.8,101468.647,0.314,0,0,-7.093,73.81
6126,0000-09-12 05:30:00,9.415,13.955,11.273,3.08,6.233,101488.086,0.249,8.659,0.405,1.973,85.74
6127,0000-09-12 06:30:00,66.84,15.102,11.661,3.372,6.314,101513.515,0.054,54.17,11.954,11.183,97.628
6128,0000-09-12 07:30:00,159.093,16.029,12.071,3.814,5.415,101539.299,0.084,104.168,52.825,20.128,110.106
6129,0000-09-12 08:30:00,280.803,17.142,12.508,4.41,5.158,101564.011,0.085,150.173,128.605,28.341,123.853
6130,0000-09-12 09:30:00,357.715,17.78,12.926,4.868,5.205,101579.343,0.027,187.494,167.577,35.224,139.519
6131,0000-09-12 10:30:00,388.35,18.232,13.263,5.18,5.367,101579.233,0.023,209.484,175.185,40.044,157.45
6132,0000-09-12 11:30:00,435.604,18.639,13.654,5.605,5.591,101581.45,0.031,223.256,204.845,42.065,177.154
6133,0000-09-12 12:30:00,405.381,18.695,13.911,5.607,5.402,101579.135,0.034,228.545,174.103,40.896,197.126
6134,0000-09-12 13:30:00,368.272,18.791,14.243,5.479,5.434,101575.814,0.016,206.708,161.565,36.774,215.619
6135,0000-09-12 14:30:00,331.354,18.682,14.587,5.601,5.099,101566.482,0.043,163.113,167.805,30.369,231.89
6136,0000-09-12 15:30:00,238.667,18.294,14.797,5.425,5.081,101558.809,0.076,123.465,114.276,22.443,246.095
6137,0000-09-12 16:30:00,130.967,17.596,15.041,5.013,4.891,101554.876,0,80.364,48.767,13.632,258.84
6138,0000-09-12 17:30:00,34.64,16.364,15.206,4.575,4.028,101560.376,0.16,25.816,7.985,4.43,270.81
6139,0000-09-12 18:30:00,0.713,15.077,14.364,3.983,4.705,101593.605,0.076,0.676,0,-4.744,282.65
6140,0000-09-12 19:30:00,0,14.393,13.583,3.791,4.381,101607.982,0.057,0,0,-13.492,294.966
6141,0000-09-12 20:30:00,0,13.845,12.854,3.651,4.262,101604.425,0.117,0,0,-21.363,308.327
6142,0000-09-12 21:30:00,0,13.764,12.168,3.463,4.03,101601.549,0.09,0,0,-27.823,323.199
6143,0000-09-12 22:30:00,0.011,13.663,11.567,3.361,4.4,101584.747,0.107,0,0,-32.255,339.734
6144,0000-09-12 23:30:00,0,13.263,10.935,3.476,4.752,101567.291,0.09,0,0,-34.096,336.93
6145,0000-09-13 00:30:00,0.011,13.121,10.713,3.34,4.186,101544.365,0.253,0,0,-33.071,15.445
6146,0000-09-13 01:30:00,0.034,12.736,10.463,3.289,4.886,101531.158,0.441,0,0,-29.333,32.414
6147,0000-09-13 02:30:00,0.034,12.56,10.257,3.038,4.491,101512.215,0.264,0,0,-23.398,47.773
6148,0000-09-13 03:30:00,0.043,12.458,10.107,2.877,4.819,101505.261,0.084,0,0,-15.88,61.536
6149,0000-09-13 04:30:00,0.034,12.433,9.918,2.941,4.876,101506.263,0.07,0,0,-7.349,74.11
6150,0000-09-13 05:30:00,10.132,12.737,9.619,3.145,4.747,101527.658,0.104,9.319,1.047,1.727,86.044
6151,0000-09-13 06:30:00,84.86,14.224,10.006,3.271,4.804,101539.739,0.057,64.379,22.315,10.935,97.937
6152,0000-09-13 07:30:00,199.815,15.623,10.611,3.865,5.233,101568.471,0.043,117.523,85.099,19.868,110.418
6153,0000-09-13 08:30:00,288.158,16.611,11.125,4.376,4.942,101589.51,0.11,151.649,139.625,28.058,124.16
6154,0000-09-13 09:30:00,374.761,17.246,11.677,4.78,5.519,101596.397,0.107,180.482,193.139,34.909,139.804
6155,0000-09-13 10:30:00,403.919,17.542,12.147,4.92,5.48,101595.045,0.04,201.32,204.023,39.694,157.679
6156,0000-09-13 11:30:00,404.52,17.689,12.522,5.133,5.582,101591.984,0.03,210.708,194.813,41.685,177.288
6157,0000-09-13 12:30:00,427.999,18.16,12.98,4.947,5.242,101573.891,0.14,195.225,230.067,40.506,197.132
6158,0000-09-13 13:30:00,374.54,18.165,13.528,5.081,5.186,101551.371,0.207,189.011,180.798,36.386,215.551
6159,0000-09-13 14:30:00,300.263,17.979,13.925,5.12,4.848,101515.371,0.493,153.54,140.581,29.992,231.765
6160,0000-09-13 15:30:00,203.008,17.762,14.265,4.787,4.805,101503.415,0.24,115.416,88.561,22.078,245.941
6161,0000-09-13 16:30:00,112.668,17.016,14.504,4.436,4.171,101494.519,0.284,71.719,41.423,13.274,258.674
6162,0000-09-13 17:30:00,29.115,15.786,14.691,3.68,4.395,101496.814,0.15,21.252,7.678,4.075,270.642
6163,0000-09-13 18:30:00,0.203,14.783,13.79,3.433,3.895,101507.56,0.293,0.173,0,-5.102,282.49
6164,0000-09-13 19:30:00,0,14.345,12.982,3.122,4.424,101514.757,0.064,0,0,-13.858,294.821
6165,0000-09-13 20:30:00,0,13.826,12.325,3.233,3.757,101516.319,0.23,0,0,-21.741,308.212
6166,0000-09-13 21:30:00,0.014,13.492,11.708,3.237,3.662,101511.265,0.127,0,0,-28.211,323.131
6167,0000-09-13 22:30:00,0,13.155,11.123,3.125,3.371,101499.156,0.096,0,0,-32.647,339.739
6168,0000-09-13 23:30:00,0.005,13.033,10.554,3.256,3.209,101484.966,0.123,0,0,-34.481,337.025
6169,0000-09-14 00:30:00,0.005,12.876,10.37,3.155,3.133,101463.204,0.103,0,0,-33.433,15.625
6170,0000-09-14 01:30:00,0.005,12.554,10.139,2.991,3.229,101448.357,0.034,0,0,-29.665,32.656
6171,0000-09-14 02:30:00,0.005,12.379,9.953,3.134,4.057,101435.156,0.014,0,0,-23.698,48.05
6172,0000-09-14 03:30:00,0,12.454,9.789,3.071,4.076,101413.681,0.027,0,0,-16.154,61.829
6173,0000-09-14 04:30:00,0.005,12.294,9.683,3.056,4.663,101400.504,0.114,0,0,-7.604,74.411
6174,0000-09-14 05:30:00,10.562,12.949,9.658,3.225,4.562,101409.652,0.107,9.533,1.084,1.48,86.35
6175,0000-09-14 06:30:00,75.659,14.315,10.369,3.513,4.462,101416.286,0.014,54.853,21.845,10.686,98.247
6176,0000-09-14 07:30:00,172.195,15.641,11.14,4.259,4.762,101429.732,0.061,103.684,68.641,19.606,110.73
6177,0000-09-14 08:30:00,264.887,16.59,11.796,4.68,4.915,101441.478,0.12,141.255,124.946,27.773,124.467
6178,0000-09-14 09:30:00,323.785,17.324,12.366,5.233,5.095,101436.748,0.127,169.045,153.509,34.593,140.087
6179,0000-09-14 10:30:00,368.851,17.741,12.804,5.667,4.923,101430.504,0.223,184.487,189.974,39.342,157.906
6180,0000-09-14 11:30:00,387.55,18.146,13.091,5.819,4.957,101423.915,0.223,190.525,206.308,41.305,177.42
6181,0000-09-14 12:30:00,360.84,18.224,13.516,5.772,5.595,101412.609,0.365,198.243,171.272,40.114,197.155
6182,0000-09-14 13:30:00,301.882,18.134,13.904,5.503,5.553,101403.772,0.331,166.376,142.138,35.996,215.483
6183,0000-09-14 14:30:00,267.172,17.975,14.23,5.392,5.668,101397.862,0.346,140.008,133.819,29.614,231.64
6184,0000-09-14 15:30:00,182.23,17.613,14.448,5.274,5.8,101392.214,0.297,112.316,75.087,21.711,245.787
6185,0000-09-14 16:30:00,99.389,16.936,14.595,4.773,5.443,101394.787,0.304,71.016,30.844,12.915,258.509
6186,0000-09-14 17:30:00,24.132,15.929,14.732,4.229,5.681,101407.501,0.174,19.327,4.916,3.718,270.475
6187,0000-09-14 18:30:00,0.165,14.943,13.879,3.834,5.482,101444.386,0.123,0.14,0,-5.462,282.328
6188,0000-09-14 19:30:00,0,14.613,13.206,3.588,5.205,101469.295,0.276,0,0,-14.225,294.675
6189,0000-09-14 20:30:00,0,14.254,12.566,3.165,4.999,101480.819,0.14,0,0,-22.119,308.094
6190,0000-09-14 21:30:00,0,13.844,11.881,3.054,4.291,101484.167,0.053,0,0,-28.6,323.063
6191,0000-09-14 22:30:00,0.005,13.581,11.242,3.024,4.714,101477,0.096,0,0,-33.041,339.745
6192,0000-09-14 23:30:00,0.005,13.221,10.656,2.71,4.162,101466.881,0.076,0,0,-34.867,337.121
6193,0000-09-15 00:30:00,0.073,13.038,10.584,2.867,5.659,101449.995,0.3,0,0,-33.794,15.807
6194,0000-09-15 01:30:00,0.027,13.122,10.512,2.772,5.766,101443.731,0.127,0,0,-29.987,32.924
6195,0000-09-15 02:30:00,0.031,13.011,10.435,3.006,5.135,101430.27,0.144,0,0,-24.011,48.298
6196,0000-09-15 03:30:00,0.029,12.73,10.29,3.015,4.815,101418.905,0.077,0,0,-16.427,62.125
6197,0000-09-15 04:30:00,0.014,12.595,10.111,3.11,5.385,101418.477,0.07,0,0,-7.86,74.714
6198,0000-09-15 05:30:00,9.65,12.828,10.1,3.181,4.967,101437.147,0.038,8.811,0.677,1.232,86.657
6199,0000-09-15 06:30:00,78.546,14.343,10.679,3.401,5.048,101456.162,0.019,55.37,22.73,10.436,98.557
6200,0000-09-15 07:30:00,174.24,15.56,11.248,3.77,4.599,101474.247,0.061,101.223,75.682,19.344,111.042
6201,0000-09-15 08:30:00,289.846,16.729,11.846,4.318,4.248,101494.105,0.023,149.82,137.4,27.488,124.774
6202,0000-09-15 09:30:00,363.153,17.421,12.37,4.788,5.071,101496.038,0.043,178.171,179.156,34.275,140.37
6203,0000-09-15 10:30:00,383.215,17.77,12.731,4.886,4.896,101487.247,0.13,198.481,182.941,38.988,158.132
6204,0000-09-15 11:30:00,409.016,18.083,13.103,4.944,5.119,101476.247,0.19,189.137,213.797,40.923,177.551
6205,0000-09-15 12:30:00,397.081,18.402,13.528,5.234,5.434,101455.938,0.12,190.35,202.987,39.72,197.177
6206,0000-09-15 13:30:00,358.771,18.347,13.877,5.391,5.195,101436.589,0.307,171.414,182.491,35.606,215.417
6207,0000-09-15 14:30:00,275.307,18.229,14.23,4.87,5.265,101414.691,0.26,147.327,122.423,29.235,231.517
6208,0000-09-15 15:30:00,187.77,17.744,14.458,4.361,5.542,101391.604,0.123,106.244,76.377,21.343,245.633
6209,0000-09-15 16:30:00,95.79,17.123,14.648,4.016,5.462,101384.542,0.137,60.38,33.463,12.555,258.343
6210,0000-09-15 17:30:00,21.427,15.987,14.681,3.6,4.986,101383.147,0.207,18.278,2.6,3.361,270.307
6211,0000-09-15 18:30:00,0.024,14.743,13.766,3.368,4.633,101403.067,0.247,0.01,0,-5.822,282.167
6212,0000-09-15 19:30:00,0.029,14.317,12.965,3.156,4.71,101406.033,0.237,0,0,-14.594,294.528
6213,0000-09-15 20:30:00,0,13.998,12.316,3.373,4.734,101400.605,0.137,0,0,-22.499,307.976
6214,0000-09-15 21:30:00,0.018,13.531,11.685,3.243,4.9,101393.99,0.32,0,0,-28.99,322.994
6215,0000-09-15 22:30:00,0.011,13.169,10.98,3.089,4.791,101377.781,0.373,0,0,-33.436,339.751
6216,0000-09-15 23:30:00,0.023,12.676,10.337,2.974,5.01,101373.01,0.38,0,0,-35.254,337.218
6217,0000-09-16 00:30:00,0.029,12.542,10.292,2.838,5.648,101363.304,0.14,0,0,-34.16,15.991
6218,0000-09-16 01:30:00,0.029,12.25,10.148,2.805,4.905,101346.781,0.135,0,0,-30.33,33.145
6219,0000-09-16 02:30:00,0.029,12.085,10.002,2.96,4.876,101334.962,0.152,0,0,-24.298,48.61
6220,0000-09-16 03:30:00,0.018,11.861,9.851,3.105,4.805,101324.776,0.073,0,0,-16.701,62.422
6221,0000-09-16 04:30:00,0.011,11.695,9.728,2.897,5.119,101325.03,0.13,0,0,-8.116,75.017
6222,0000-09-16 05:30:00,7.605,12.165,9.605,3.021,5.196,101342.985,0.043,7.081,0.685,0.983,86.964
6223,0000-09-16 06:30:00,70.745,13.398,9.992,3.129,5.748,101358.7,0.16,57.234,15.484,10.185,98.868
6224,0000-09-16 07:30:00,170.688,14.739,10.396,3.527,5.577,101373.066,0.213,111.221,64.582,19.08,111.353
6225,0000-09-16 08:30:00,263.147,15.77,10.781,4.11,4.872,101391.881,0.103,155.148,115.387,27.2,125.079
6226,0000-09-16 09:30:00,339.49,16.5,11.144,4.453,5.337,101391.462,0.188,185.423,161.389,33.956,140.652
6227,0000-09-16 10:30:00,366.086,17.111,11.508,4.853,5.919,101387.466,0.219,218.413,152.588,38.634,158.355
6228,0000-09-16 11:30:00,373.418,17.48,11.808,5.191,5.967,101380.186,0.163,229.178,149.685,40.54,177.681
6229,0000-09-16 12:30:00,352.269,17.697,12.338,5.233,5.767,101364.981,0.176,219.919,138.577,39.325,197.2
6230,0000-09-16 13:30:00,328.891,17.803,12.777,5.047,5.724,101347.619,0.157,199.642,135.607,35.215,215.35
6231,0000-09-16 14:30:00,271.515,17.738,13.232,5.068,5.586,101328.653,0.15,157.437,117.999,28.854,231.394
6232,0000-09-16 15:30:00,176.723,17.361,13.642,4.851,5.653,101322.729,0.28,117.507,61.253,20.975,245.48
6233,0000-09-16 16:30:00,94.83,16.559,13.952,4.353,4.99,101322.599,0.21,66.198,29.557,12.194,258.177
6234,0000-09-16 17:30:00,20.135,15.462,14.167,3.822,4.804,101338.709,0.243,16.703,3.251,3.003,270.139
6235,0000-09-16 18:30:00,0.038,14.576,13.461,3.603,4.648,101369.162,0.084,0.029,0,-6.183,282.004
6236,0000-09-16 19:30:00,0,14.103,12.693,3.58,4.562,101390.92,0.07,0,0,-14.963,294.38
6237,0000-09-16 20:30:00,0.005,13.717,12.157,3.631,4.452,101403.538,0.034,0,0,-22.879,307.857
